Index,Location
131,N 10° E 27° S 18° W 22°
132,N 12° E 64° S 66° W 20°
133,N 20° E 76° S 14° W 60°
134,N 34° E 69° S 36° W 7°
135,N 84° E 49° S 56° W 18°
136,N 33° E 70° S 15° W 68°
137,N 40° E 54° S 16° W 57°
138,N 30° E 13° S 81° W 65°
139,N 73° E 4° S 40° W 58°
140,N 34° E 63° S 9° W 29°
141,N 72° E 45° S 82° W 22°
142,N 63° E 0° S 78° W 35°
143,N 57° E 2° S 59° W 62°
144,N 77° E 33° S 75° W 73°
145,N 35° E 32° S 87° W 38°
146,N 76° E 5° S 8° W 17°
147,N 51° E 58° S 4° W 17°
148,N 61° E 64° S 24° W 0°
149,N 18° E 87° S 32° W 26°
150,N 66° E 32° S 8° W 85°
151,N 55° E 23° S 33° W 87°
152,N 87° E 11° S 61° W 57°
153,N 60° E 6° S 74° W 81°
154,N 40° E 71° S 41° W 79°
155,N 24° E 4° S 3° W 53°
156,N 64° E 27° S 5° W 19°
157,N 73° E 88° S 54° W 86°
158,N 73° E 16° S 71° W 73°
159,N 33° E 79° S 4° W 66°
160,N 43° E 47° S 80° W 20°
161,N 16° E 8° S 31° W 15°
162,N 60° E 75° S 61° W 20°
163,N 34° E 25° S 2° W 2°
164,N 4° E 38° S 10° W 26°
165,N 86° E 36° S 67° W 1°
166,N 80° E 80° S 79° W 2°
167,N 34° E 2° S 49° W 65°
168,N 66° E 78° S 89° W 31°
169,N 12° E 73° S 76° W 63°
170,N 14° E 58° S 5° W 11°
171,N 53° E 61° S 3° W 86°
172,N 21° E 67° S 69° W 54°
173,N 43° E 62° S 31° W 35°
174,N 5° E 88° S 62° W 19°
175,N 9° E 68° S 36° W 88°
176,N 18° E 84° S 64° W 31°
177,N 89° E 74° S 83° W 78°
178,N 9° E 65° S 20° W 72°
179,N 56° E 26° S 80° W 15°
180,N 31° E 71° S 27° W 11°
181,N 34° E 81° S 34° W 62°
182,N 63° E 54° S 84° W 81°
183,N 58° E 28° S 29° W 22°
184,N 88° E 2° S 9° W 24°
185,N 74° E 1° S 37° W 22°
186,N 77° E 73° S 86° W 7°
187,N 81° E 59° S 81° W 47°
188,N 33° E 42° S 54° W 73°
189,N 23° E 50° S 77° W 9°
190,N 33° E 74° S 40° W 63°
191,N 53° E 54° S 64° W 36°
192,N 10° E 49° S 8° W 83°
193,N 10° E 59° S 62° W 18°
194,N 10° E 40° S 55° W 86°
195,N 44° E 71° S 57° W 46°
196,N 2° E 49° S 78° W 53°
197,N 88° E 35° S 0° W 69°
198,N 6° E 4° S 82° W 3°
199,N 15° E 51° S 78° W 47°
200,N 3° E 50° S 41° W 15°
201,N 70° E 2° S 11° W 59°
202,N 85° E 38° S 44° W 41°
203,N 10° E 53° S 8° W 70°
204,N 8° E 71° S 19° W 69°
205,N 70° E 47° S 56° W 31°
206,N 74° E 77° S 83° W 44°
207,N 46° E 67° S 73° W 64°
208,N 40° E 61° S 39° W 36°
209,N 53° E 12° S 46° W 21°
210,N 6° E 68° S 70° W 26°
211,N 86° E 25° S 60° W 14°
212,N 11° E 36° S 82° W 89°
213,N 89° E 1° S 79° W 32°
214,N 75° E 30° S 55° W 64°
215,N 89° E 33° S 88° W 33°
216,N 80° E 2° S 52° W 29°
217,N 45° E 57° S 41° W 73°
218,N 83° E 56° S 88° W 38°
219,N 83° E 46° S 48° W 89°
220,N 19° E 14° S 2° W 37°
221,N 19° E 54° S 55° W 20°
222,N 73° E 16° S 26° W 59°
223,N 20° E 28° S 9° W 55°
224,N 73° E 25° S 39° W 42°
225,N 15° E 41° S 57° W 54°
226,N 78° E 89° S 89° W 37°
227,N 14° E 66° S 51° W 31°
228,N 30° E 67° S 61° W 19°
229,N 71° E 24° S 53° W 19°
230,N 15° E 32° S 52° W 20°
231,N 47° E 71° S 55° W 61°
232,N 18° E 83° S 6° W 37°
233,N 57° E 28° S 69° W 24°
234,N 16° E 52° S 4° W 56°
235,N 12° E 68° S 50° W 34°
236,N 55° E 9° S 61° W 20°
237,N 17° E 27° S 58° W 83°
238,N 0° E 11° S 59° W 44°
239,N 13° E 16° S 85° W 32°
240,N 81° E 84° S 0° W 3°
241,N 12° E 25° S 62° W 56°
242,N 83° E 45° S 4° W 49°
243,N 21° E 22° S 24° W 54°
244,N 52° E 44° S 3° W 47°
245,N 33° E 24° S 9° W 43°
246,N 67° E 80° S 17° W 57°
247,N 33° E 20° S 74° W 23°
248,N 5° E 50° S 0° W 82°
249,N 64° E 73° S 38° W 72°
250,N 49° E 32° S 32° W 25°
251,N 83° E 56° S 16° W 61°
252,N 85° E 24° S 11° W 17°
253,N 57° E 31° S 21° W 23°
254,N 44° E 23° S 82° W 58°
255,N 17° E 83° S 19° W 27°
256,N 48° E 72° S 84° W 6°
257,N 15° E 70° S 11° W 26°
258,N 71° E 76° S 56° W 34°
259,N 86° E 87° S 62° W 6°
260,N 0° E 57° S 11° W 49°
261,N 3° E 59° S 14° W 40°
262,N 59° E 38° S 41° W 80°
263,N 22° E 58° S 13° W 61°
264,N 26° E 16° S 48° W 77°
265,N 44° E 51° S 58° W 65°
266,N 36° E 88° S 14° W 51°
267,N 9° E 84° S 9° W 26°
268,N 51° E 72° S 70° W 30°
269,N 28° E 67° S 2° W 21°
270,N 75° E 15° S 62° W 15°
271,N 71° E 7° S 63° W 12°
272,N 81° E 19° S 17° W 88°
273,N 22° E 14° S 3° W 10°
274,N 84° E 28° S 1° W 87°
275,N 11° E 65° S 22° W 18°
276,N 5° E 50° S 37° W 69°
277,N 64° E 54° S 71° W 72°
278,N 82° E 33° S 46° W 75°
279,N 34° E 5° S 29° W 66°
280,N 62° E 61° S 51° W 34°
281,N 6° E 66° S 43° W 12°
282,N 35° E 17° S 58° W 28°
283,N 27° E 82° S 36° W 54°
284,N 62° E 87° S 11° W 19°
285,N 88° E 54° S 79° W 78°
286,N 10° E 81° S 18° W 75°
287,N 66° E 64° S 21° W 11°
288,N 41° E 81° S 19° W 62°
289,N 69° E 3° S 75° W 3°
290,N 59° E 58° S 42° W 56°
291,N 70° E 64° S 12° W 15°
292,N 39° E 30° S 67° W 45°
293,N 64° E 74° S 6° W 45°
294,N 22° E 73° S 80° W 33°
295,N 86° E 29° S 68° W 0°
296,N 64° E 66° S 36° W 53°
297,N 74° E 8° S 77° W 59°
298,N 0° E 6° S 25° W 27°
299,N 71° E 40° S 48° W 37°
300,N 9° E 76° S 40° W 45°
301,N 80° E 49° S 87° W 71°
302,N 89° E 51° S 50° W 42°
303,N 31° E 47° S 80° W 66°
304,N 13° E 60° S 18° W 38°
305,N 30° E 12° S 8° W 28°
306,N 67° E 15° S 50° W 57°
307,N 23° E 32° S 49° W 9°
308,N 17° E 32° S 37° W 42°
309,N 23° E 71° S 83° W 34°
310,N 21° E 18° S 3° W 18°
311,N 60° E 83° S 25° W 37°
312,N 5° E 6° S 46° W 74°
313,N 30° E 25° S 51° W 21°
314,N 57° E 86° S 25° W 32°
315,N 86° E 2° S 37° W 50°
316,N 65° E 78° S 67° W 17°
317,N 53° E 67° S 43° W 39°
318,N 36° E 20° S 45° W 70°
319,N 82° E 22° S 44° W 39°
320,N 30° E 16° S 20° W 44°
321,N 13° E 22° S 47° W 47°
322,N 88° E 4° S 56° W 25°
323,N 26° E 38° S 89° W 43°
324,N 39° E 6° S 55° W 10°
325,N 54° E 5° S 62° W 54°
326,N 71° E 83° S 49° W 55°
327,N 43° E 79° S 57° W 11°
328,N 60° E 64° S 23° W 23°
329,N 52° E 17° S 37° W 64°
330,N 13° E 53° S 87° W 41°
331,N 64° E 54° S 30° W 41°
332,N 15° E 73° S 35° W 32°
333,N 35° E 3° S 46° W 76°
334,N 30° E 5° S 17° W 66°
335,N 65° E 46° S 47° W 35°
336,N 81° E 24° S 59° W 67°
337,N 32° E 9° S 19° W 25°
338,N 82° E 43° S 48° W 4°
339,N 57° E 80° S 3° W 40°
340,N 71° E 42° S 22° W 85°
341,N 80° E 64° S 23° W 79°
342,N 66° E 27° S 12° W 54°
343,N 60° E 81° S 60° W 7°
344,N 69° E 80° S 79° W 53°
345,N 57° E 38° S 37° W 51°
346,N 66° E 64° S 57° W 61°
347,N 65° E 16° S 47° W 45°
348,N 13° E 2° S 18° W 10°
349,N 66° E 83° S 33° W 46°
350,N 30° E 39° S 11° W 19°
351,N 54° E 25° S 33° W 20°
352,N 4° E 65° S 50° W 31°
353,N 68° E 58° S 25° W 26°
354,N 50° E 69° S 52° W 53°
355,N 85° E 47° S 39° W 66°
356,N 4° E 0° S 10° W 83°
357,N 24° E 6° S 27° W 81°
358,N 18° E 41° S 72° W 51°
359,N 48° E 77° S 78° W 37°
360,N 31° E 33° S 62° W 0°
361,N 34° E 43° S 45° W 8°
362,N 39° E 36° S 40° W 16°
363,N 36° E 33° S 36° W 18°
364,N 26° E 14° S 58° W 79°
365,N 27° E 4° S 12° W 63°
366,N 62° E 75° S 87° W 63°
367,N 24° E 3° S 41° W 38°
368,N 23° E 1° S 2° W 35°
369,N 12° E 63° S 65° W 34°
370,N 49° E 49° S 75° W 78°
371,N 44° E 71° S 45° W 19°
372,N 56° E 15° S 17° W 82°
373,N 57° E 1° S 50° W 83°
374,N 46° E 19° S 18° W 36°
375,N 59° E 7° S 83° W 20°
376,N 64° E 88° S 11° W 67°
377,N 85° E 4° S 37° W 36°
378,N 80° E 30° S 70° W 85°
379,N 73° E 1° S 46° W 23°
380,N 4° E 59° S 22° W 0°
381,N 47° E 12° S 30° W 69°
382,N 26° E 5° S 64° W 57°
383,N 7° E 75° S 28° W 61°
384,N 3° E 74° S 72° W 16°
385,N 36° E 0° S 0° W 78°
386,N 26° E 60° S 3° W 7°
387,N 22° E 89° S 15° W 50°
388,N 45° E 2° S 63° W 19°
389,N 87° E 45° S 55° W 68°
390,N 49° E 86° S 80° W 66°
391,N 65° E 8° S 56° W 41°
392,N 9° E 61° S 62° W 56°
393,N 17° E 52° S 71° W 74°
394,N 7° E 86° S 34° W 3°
395,N 23° E 51° S 86° W 14°
396,N 14° E 6° S 62° W 56°
397,N 62° E 74° S 79° W 62°
398,N 49° E 12° S 32° W 84°
399,N 11° E 76° S 78° W 22°
400,N 88° E 86° S 59° W 60°
401,N 8° E 75° S 21° W 74°
402,N 77° E 71° S 83° W 20°
403,N 26° E 39° S 27° W 0°
404,N 53° E 78° S 64° W 42°
405,N 49° E 69° S 44° W 8°
406,N 86° E 82° S 62° W 58°
407,N 28° E 45° S 40° W 19°
408,N 22° E 72° S 16° W 58°
409,N 89° E 53° S 27° W 4°
410,N 85° E 60° S 26° W 36°
411,N 52° E 22° S 88° W 14°
412,N 18° E 43° S 76° W 23°
413,N 6° E 48° S 72° W 33°
414,N 21° E 63° S 54° W 54°
415,N 13° E 74° S 17° W 6°
416,N 30° E 79° S 18° W 61°
417,N 51° E 7° S 0° W 44°
418,N 81° E 89° S 45° W 18°
419,N 63° E 78° S 70° W 23°
420,N 14° E 6° S 17° W 3°
421,N 71° E 76° S 38° W 25°
422,N 9° E 63° S 30° W 45°
423,N 0° E 2° S 55° W 2°
424,N 52° E 48° S 83° W 24°
425,N 55° E 1° S 39° W 78°
426,N 4° E 88° S 79° W 29°
427,N 6° E 4° S 77° W 31°
428,N 32° E 47° S 24° W 6°
429,N 89° E 52° S 14° W 32°
430,N 63° E 79° S 5° W 74°
431,N 48° E 26° S 38° W 14°
432,N 34° E 12° S 17° W 12°
433,N 81° E 29° S 81° W 33°
434,N 77° E 45° S 6° W 70°
435,N 19° E 39° S 40° W 23°
436,N 42° E 84° S 8° W 22°
437,N 57° E 70° S 60° W 15°
438,N 55° E 16° S 17° W 0°
439,N 42° E 74° S 85° W 87°
440,N 81° E 76° S 33° W 17°
441,N 78° E 18° S 31° W 75°
442,N 56° E 84° S 87° W 38°
443,N 3° E 33° S 5° W 76°
444,N 21° E 76° S 71° W 19°
445,N 9° E 53° S 54° W 70°
446,N 86° E 2° S 38° W 86°
447,N 88° E 85° S 46° W 57°
448,N 84° E 72° S 89° W 45°
449,N 22° E 89° S 55° W 69°
450,N 21° E 7° S 32° W 86°
451,N 67° E 63° S 25° W 47°
452,N 42° E 45° S 52° W 22°
453,N 84° E 51° S 31° W 39°
454,N 78° E 87° S 29° W 21°
455,N 22° E 21° S 39° W 68°
456,N 29° E 51° S 74° W 33°
457,N 59° E 0° S 25° W 23°
458,N 81° E 75° S 33° W 40°
459,N 25° E 87° S 7° W 57°
460,N 85° E 35° S 66° W 72°
461,N 3° E 25° S 12° W 46°
462,N 74° E 12° S 15° W 71°
463,N 16° E 28° S 27° W 39°
464,N 68° E 49° S 65° W 16°
465,N 12° E 56° S 79° W 48°
466,N 62° E 43° S 80° W 23°
467,N 81° E 46° S 74° W 56°
468,N 82° E 82° S 84° W 67°
469,N 75° E 5° S 4° W 34°
470,N 29° E 64° S 20° W 39°
471,N 61° E 76° S 31° W 62°
472,N 40° E 42° S 46° W 71°
473,N 42° E 74° S 82° W 25°
474,N 80° E 61° S 70° W 42°
475,N 54° E 28° S 76° W 8°
476,N 10° E 71° S 32° W 49°
477,N 43° E 79° S 6° W 45°
478,N 24° E 7° S 39° W 62°
479,N 78° E 26° S 73° W 29°
480,N 19° E 50° S 28° W 47°
481,N 56° E 50° S 21° W 11°
482,N 16° E 65° S 80° W 18°
483,N 70° E 31° S 7° W 86°
484,N 28° E 58° S 81° W 83°
485,N 9° E 76° S 87° W 4°
486,N 46° E 74° S 49° W 50°
487,N 22° E 23° S 42° W 46°
488,N 43° E 7° S 12° W 73°
489,N 35° E 25° S 45° W 40°
490,N 21° E 69° S 89° W 37°
491,N 15° E 68° S 32° W 56°
492,N 76° E 21° S 73° W 23°
493,N 36° E 20° S 77° W 59°
494,N 27° E 74° S 54° W 67°
495,N 43° E 21° S 84° W 66°
496,N 84° E 83° S 66° W 58°
497,N 88° E 50° S 46° W 82°
498,N 11° E 73° S 9° W 39°
499,N 1° E 62° S 59° W 22°
500,N 40° E 74° S 11° W 2°
501,N 61° E 56° S 8° W 52°
502,N 61° E 59° S 83° W 81°
503,N 29° E 83° S 75° W 26°
504,N 49° E 4° S 19° W 45°
505,N 43° E 77° S 17° W 33°
506,N 44° E 62° S 6° W 1°
507,N 14° E 16° S 17° W 85°
508,N 42° E 6° S 87° W 26°
509,N 67° E 68° S 39° W 26°
510,N 48° E 33° S 82° W 89°
511,N 4° E 44° S 4° W 69°
512,N 79° E 11° S 41° W 47°
513,N 57° E 1° S 69° W 15°
514,N 84° E 89° S 87° W 65°
515,N 71° E 71° S 59° W 76°
516,N 3° E 0° S 35° W 82°
517,N 5° E 37° S 2° W 82°
518,N 60° E 87° S 41° W 29°
519,N 42° E 69° S 85° W 15°
520,N 29° E 36° S 56° W 69°
521,N 1° E 60° S 58° W 45°
522,N 74° E 48° S 77° W 26°
523,N 85° E 10° S 43° W 19°
524,N 8° E 16° S 8° W 50°
525,N 77° E 86° S 55° W 4°
526,N 86° E 86° S 9° W 58°
527,N 24° E 30° S 36° W 52°
528,N 56° E 22° S 46° W 26°
529,N 28° E 5° S 18° W 6°
530,N 31° E 21° S 28° W 57°
531,N 38° E 20° S 27° W 3°
532,N 4° E 44° S 63° W 74°
533,N 79° E 85° S 35° W 46°
534,N 82° E 14° S 51° W 82°
535,N 44° E 23° S 62° W 79°
536,N 7° E 73° S 11° W 82°
537,N 70° E 82° S 14° W 56°
538,N 16° E 27° S 77° W 63°
539,N 63° E 9° S 58° W 5°
540,N 27° E 65° S 69° W 60°
541,N 50° E 28° S 62° W 17°
542,N 41° E 14° S 37° W 51°
543,N 71° E 43° S 30° W 17°
544,N 57° E 73° S 4° W 30°
545,N 17° E 17° S 28° W 64°
546,N 52° E 64° S 35° W 44°
547,N 61° E 39° S 81° W 47°
548,N 53° E 79° S 83° W 67°
549,N 22° E 42° S 83° W 63°
550,N 19° E 1° S 23° W 83°
551,N 21° E 31° S 22° W 89°
552,N 7° E 69° S 33° W 56°
553,N 23° E 87° S 57° W 83°
554,N 20° E 79° S 55° W 1°
555,N 32° E 36° S 33° W 79°
556,N 81° E 83° S 80° W 49°
557,N 17° E 6° S 38° W 25°
558,N 11° E 52° S 27° W 5°
559,N 14° E 61° S 84° W 46°
560,N 33° E 25° S 17° W 38°
561,N 39° E 6° S 88° W 36°
562,N 84° E 35° S 15° W 24°
563,N 65° E 88° S 83° W 79°
564,N 77° E 19° S 71° W 43°
565,N 77° E 72° S 57° W 28°
566,N 30° E 46° S 5° W 62°
567,N 89° E 6° S 88° W 14°
568,N 51° E 84° S 89° W 68°
569,N 85° E 22° S 82° W 24°
570,N 5° E 32° S 0° W 62°
571,N 81° E 62° S 53° W 34°
572,N 53° E 28° S 40° W 34°
573,N 39° E 42° S 80° W 88°
574,N 88° E 80° S 59° W 54°
575,N 69° E 3° S 58° W 66°
576,N 31° E 77° S 84° W 33°
577,N 21° E 59° S 75° W 42°
578,N 72° E 25° S 43° W 84°
579,N 12° E 24° S 6° W 59°
580,N 88° E 39° S 35° W 78°
581,N 25° E 6° S 6° W 16°
582,N 60° E 41° S 49° W 48°
583,N 17° E 36° S 70° W 87°
584,N 53° E 14° S 43° W 65°
585,N 69° E 49° S 31° W 57°
586,N 59° E 25° S 65° W 1°
587,N 27° E 67° S 88° W 84°
588,N 4° E 50° S 9° W 22°
589,N 10° E 16° S 62° W 70°
590,N 38° E 38° S 13° W 34°
591,N 15° E 50° S 24° W 66°
592,N 70° E 64° S 17° W 1°
593,N 11° E 59° S 87° W 34°
594,N 1° E 36° S 64° W 66°
595,N 52° E 41° S 40° W 3°
596,N 64° E 18° S 1° W 32°
597,N 56° E 75° S 63° W 64°
598,N 11° E 24° S 13° W 48°
599,N 43° E 51° S 89° W 79°
600,N 34° E 16° S 78° W 46°
601,N 62° E 76° S 36° W 82°
602,N 72° E 29° S 64° W 72°
603,N 61° E 15° S 35° W 64°
604,N 31° E 67° S 29° W 16°
605,N 29° E 9° S 35° W 51°
606,N 47° E 75° S 36° W 11°
607,N 54° E 38° S 24° W 74°
608,N 54° E 15° S 59° W 46°
609,N 65° E 9° S 62° W 37°
610,N 2° E 31° S 49° W 58°
611,N 52° E 9° S 47° W 6°
612,N 69° E 71° S 32° W 9°
613,N 78° E 52° S 35° W 22°
614,N 35° E 32° S 10° W 78°
615,N 58° E 3° S 86° W 10°
616,N 38° E 52° S 86° W 88°
617,N 82° E 8° S 71° W 25°
618,N 87° E 45° S 12° W 18°
619,N 10° E 65° S 11° W 23°
620,N 88° E 78° S 59° W 17°
621,N 22° E 53° S 70° W 72°
622,N 2° E 82° S 77° W 72°
623,N 76° E 86° S 21° W 87°
624,N 72° E 31° S 56° W 30°
625,N 48° E 4° S 34° W 37°
626,N 32° E 24° S 46° W 50°
627,N 5° E 18° S 39° W 85°
628,N 33° E 7° S 71° W 53°
629,N 81° E 1° S 21° W 54°
630,N 15° E 79° S 9° W 11°
631,N 76° E 41° S 5° W 61°
632,N 0° E 25° S 38° W 60°
633,N 55° E 72° S 38° W 38°
634,N 16° E 2° S 78° W 48°
635,N 24° E 67° S 32° W 37°
636,N 61° E 12° S 88° W 34°
637,N 6° E 46° S 12° W 61°
638,N 21° E 32° S 4° W 82°
639,N 30° E 11° S 7° W 1°
640,N 69° E 50° S 8° W 30°
641,N 40° E 66° S 16° W 50°
642,N 66° E 89° S 35° W 80°
643,N 12° E 16° S 26° W 89°
644,N 5° E 69° S 63° W 80°
645,N 25° E 55° S 23° W 43°
646,N 78° E 86° S 21° W 16°
647,N 4° E 25° S 25° W 67°
648,N 7° E 34° S 22° W 86°
649,N 36° E 22° S 19° W 86°
650,N 34° E 36° S 61° W 89°
651,N 0° E 70° S 12° W 66°
652,N 77° E 77° S 39° W 6°
653,N 63° E 55° S 78° W 52°
654,N 63° E 67° S 51° W 38°
655,N 43° E 43° S 6° W 63°
656,N 10° E 28° S 61° W 74°
657,N 78° E 74° S 36° W 62°
658,N 0° E 66° S 78° W 61°
659,N 3° E 63° S 85° W 1°
660,N 27° E 9° S 27° W 49°
661,N 31° E 60° S 66° W 44°
662,N 79° E 17° S 36° W 87°
663,N 71° E 79° S 7° W 39°
664,N 72° E 46° S 54° W 49°
665,N 31° E 62° S 65° W 47°
666,N 23° E 45° S 88° W 34°
667,N 24° E 58° S 7° W 57°
668,N 62° E 25° S 16° W 85°
669,N 73° E 46° S 20° W 11°
670,N 61° E 23° S 77° W 28°
671,N 2° E 61° S 26° W 67°
672,N 75° E 52° S 25° W 81°
673,N 8° E 85° S 51° W 41°
674,N 88° E 77° S 55° W 51°
675,N 11° E 28° S 27° W 76°
676,N 51° E 20° S 88° W 54°
677,N 5° E 3° S 39° W 5°
678,N 25° E 18° S 78° W 30°
679,N 86° E 87° S 12° W 62°
680,N 69° E 55° S 74° W 89°
681,N 22° E 65° S 40° W 5°
682,N 24° E 10° S 18° W 50°
683,N 22° E 67° S 21° W 59°
684,N 3° E 43° S 86° W 17°
685,N 56° E 57° S 71° W 61°
686,N 81° E 81° S 64° W 67°
687,N 62° E 8° S 32° W 57°
688,N 74° E 18° S 29° W 54°
689,N 33° E 28° S 75° W 16°
690,N 27° E 50° S 41° W 80°
691,N 45° E 7° S 64° W 72°
692,N 0° E 22° S 43° W 5°
693,N 1° E 73° S 3° W 65°
694,N 6° E 19° S 55° W 70°
695,N 87° E 41° S 79° W 38°
696,N 22° E 84° S 39° W 83°
697,N 60° E 4° S 0° W 27°
698,N 31° E 75° S 39° W 76°
699,N 36° E 32° S 72° W 27°
700,N 43° E 33° S 77° W 67°
701,N 73° E 36° S 13° W 60°
702,N 54° E 12° S 80° W 56°
703,N 50° E 14° S 13° W 51°
704,N 45° E 35° S 4° W 38°
705,N 67° E 11° S 31° W 32°
706,N 83° E 25° S 32° W 13°
707,N 74° E 21° S 11° W 67°
708,N 14° E 28° S 32° W 20°
709,N 53° E 40° S 82° W 81°
710,N 23° E 10° S 69° W 43°
711,N 77° E 74° S 15° W 29°
712,N 9° E 63° S 32° W 50°
713,N 87° E 55° S 85° W 59°
714,N 45° E 9° S 60° W 42°
715,N 57° E 14° S 68° W 77°
716,N 29° E 84° S 84° W 21°
717,N 13° E 3° S 34° W 10°
718,N 88° E 87° S 31° W 14°
719,N 72° E 6° S 14° W 70°
720,N 53° E 87° S 71° W 41°
721,N 87° E 67° S 27° W 27°
722,N 43° E 42° S 36° W 65°
723,N 73° E 26° S 57° W 73°
724,N 6° E 66° S 15° W 81°
725,N 89° E 76° S 22° W 59°
726,N 58° E 72° S 3° W 27°
727,N 52° E 45° S 31° W 68°
728,N 14° E 32° S 59° W 81°
729,N 53° E 41° S 63° W 69°
730,N 21° E 74° S 77° W 54°
731,N 5° E 82° S 42° W 71°
732,N 34° E 82° S 62° W 37°
733,N 62° E 27° S 55° W 59°
734,N 27° E 57° S 18° W 39°
735,N 6° E 48° S 59° W 61°
